1,1,1972,1
2,2,1972,1
3,3,1972,1
4,4,1972,1
5,5,1972,1
6,6,1972,1
7,7,1972,1
8,8,1972,1
9,9,1972,1
10,10,1972,1
11,11,1972,1
12,12,1972,1
13,13,1972,1
14,14,1972,1
15,15,1972,1
16,16,1972,1
17,17,1972,1
18,18,1972,1
19,19,1972,1
20,20,1972,1
21,21,1972,1
22,22,1972,1
23,23,1972,1
24,24,1972,1
25,25,1972,1
26,26,1972,1
27,27,1972,1
28,28,1972,1
29,29,1972,1
30,30,1972,1
31,31,1972,1
32,32,1972,1
33,33,1972,1
34,34,1972,1
35,1,1972,2
36,2,1972,2
37,3,1972,2
38,4,1972,2
39,5,1972,2
40,6,1972,2
41,7,1972,2
42,8,1972,2
43,9,1972,2
44,10,1972,2
45,11,1972,2
46,12,1972,2
47,13,1972,2
48,14,1972,2
49,15,1972,2
50,16,1972,2
51,17,1972,2
52,18,1972,2
53,19,1972,2
54,20,1972,2
55,21,1972,2
56,22,1972,2
57,23,1972,2
58,24,1972,2
59,25,1972,2
60,26,1972,2
61,27,1972,2
62,28,1972,2
63,29,1972,2
64,30,1972,2
65,31,1972,2
66,32,1972,2
67,33,1972,2
68,34,1972,2
69,35,1972,2
70,36,1972,2
71,37,1972,2
72,38,1972,2
73,1,1973,1
74,2,1973,1
75,3,1973,1
76,4,1973,1
77,5,1973,1
78,6,1973,1
79,7,1973,1
80,8,1973,1
81,9,1973,1
82,10,1973,1
83,11,1973,1
84,12,1973,1
85,13,1973,1
86,14,1973,1
87,15,1973,1
88,16,1973,1
89,17,1973,1
90,18,1973,1
91,19,1973,1
92,20,1973,1
93,21,1973,1
94,22,1973,1
95,23,1973,1
96,24,1973,1
97,25,1973,1
98,26,1973,1
99,27,1973,1
100,28,1973,1
101,29,1973,1
102,30,1973,1
103,31,1973,1
104,32,1973,1
105,33,1973,1
106,34,1973,1
107,1,1973,2
108,2,1973,2
109,3,1973,2
110,4,1973,2
111,5,1973,2
112,6,1973,2
113,7,1973,2
114,8,1973,2
115,9,1973,2
116,10,1973,2
117,11,1973,2
118,12,1973,2
119,13,1973,2
120,14,1973,2
121,15,1973,2
122,16,1973,2
123,17,1973,2
124,18,1973,2
125,19,1973,2
126,20,1973,2
127,21,1973,2
128,22,1973,2
129,23,1973,2
130,24,1973,2
131,25,1973,2
132,26,1973,2
133,27,1973,2
134,28,1973,2
135,29,1973,2
136,30,1973,2
137,31,1973,2
138,32,1973,2
139,33,1973,2
140,34,1973,2
141,35,1973,2
142,36,1973,2
143,37,1973,2
144,38,1973,2
145,1,1974,1
146,2,1974,1
147,3,1974,1
148,4,1974,1
149,5,1974,1
150,6,1974,1
151,7,1974,1
152,8,1974,1
153,9,1974,1
154,10,1974,1
155,11,1974,1
156,12,1974,1
157,13,1974,1
158,14,1974,1
159,15,1974,1
160,16,1974,1
161,17,1974,1
162,18,1974,1
163,19,1974,1
164,20,1974,1
165,21,1974,1
166,22,1974,1
167,23,1974,1
168,24,1974,1
169,25,1974,1
170,26,1974,1
171,27,1974,1
172,28,1974,1
173,29,1974,1
174,30,1974,1
175,31,1974,1
176,32,1974,1
177,33,1974,1
178,34,1974,1
179,1,1974,2
180,2,1974,2
181,3,1974,2
182,4,1974,2
183,5,1974,2
184,6,1974,2
185,7,1974,2
186,8,1974,2
187,9,1974,2
188,10,1974,2
189,11,1974,2
190,12,1974,2
191,13,1974,2
192,14,1974,2
193,15,1974,2
194,16,1974,2
195,17,1974,2
196,18,1974,2
197,19,1974,2
198,20,1974,2
199,21,1974,2
200,22,1974,2
201,23,1974,2
202,24,1974,2
203,25,1974,2
204,26,1974,2
205,27,1974,2
206,28,1974,2
207,29,1974,2
208,30,1974,2
209,31,1974,2
210,32,1974,2
211,33,1974,2
212,34,1974,2
213,35,1974,2
214,36,1974,2
215,37,1974,2
216,38,1974,2
217,1,1975,1
218,2,1975,1
219,3,1975,1
220,4,1975,1
221,5,1975,1
222,6,1975,1
223,7,1975,1
224,8,1975,1
225,9,1975,1
226,10,1975,1
227,11,1975,1
228,12,1975,1
229,13,1975,1
230,14,1975,1
231,15,1975,1
232,16,1975,1
233,17,1975,1
234,18,1975,1
235,19,1975,1
236,20,1975,1
237,21,1975,1
238,22,1975,1
239,23,1975,1
240,24,1975,1
241,25,1975,1
242,26,1975,1
243,27,1975,1
244,28,1975,1
245,29,1975,1
246,30,1975,1
247,31,1975,1
248,32,1975,1
249,33,1975,1
250,34,1975,1
251,1,1975,2
252,2,1975,2
253,3,1975,2
254,4,1975,2
255,5,1975,2
256,6,1975,2
257,7,1975,2
258,8,1975,2
259,9,1975,2
260,10,1975,2
261,11,1975,2
262,12,1975,2
263,13,1975,2
264,14,1975,2
265,15,1975,2
266,16,1975,2
267,17,1975,2
268,18,1975,2
269,19,1975,2
270,20,1975,2
271,21,1975,2
272,22,1975,2
273,23,1975,2
274,24,1975,2
275,25,1975,2
276,26,1975,2
277,27,1975,2
278,28,1975,2
279,29,1975,2
280,30,1975,2
281,31,1975,2
282,32,1975,2
283,33,1975,2
284,34,1975,2
285,35,1975,2
286,36,1975,2
287,37,1975,2
288,38,1975,2
289,1,1976,1
290,2,1976,1
291,3,1976,1
292,4,1976,1
293,5,1976,1
294,6,1976,1
295,7,1976,1
296,8,1976,1
297,9,1976,1
298,10,1976,1
299,11,1976,1
300,12,1976,1
301,13,1976,1
302,14,1976,1
303,15,1976,1
304,16,1976,1
305,17,1976,1
306,18,1976,1
307,19,1976,1
308,20,1976,1
309,21,1976,1
310,22,1976,1
311,23,1976,1
